书名,价格,信息,日期,出版社
 信息学奥林匹克辞典 全国青少年信息学奥林匹克系列竞赛大纲详解 立足NOI大纲知识体系 严谨解析相关知识和概念 精要述评思想、方法和技巧 全面涵盖NOI考查内容,¥66.00,信息学奥林匹克辞典——全国青少年信息学奥林匹克系列竞赛大纲详解, 2023-08-07,机械工业出版社
 深入理解计算机系统 (美)兰德尔E.布莱恩特(Randal E.Bryant)等 机械工业出版社【正版】 全国三仓发货，物流便捷，下单秒杀，欢迎选购！,¥42.00,(美)兰德尔?E.布莱恩特(Randal E.Bryant), 2016-11-01,机械工业出版社
 深入理解计算机系统（原书第3版） IT图书领域的传奇图书，畅销全球的ICS核心教材，能让程序员脱胎换骨的书,¥76.50,兰德尔, 2022-04-18,机械工业出版社
 深入理解计算机系统 (美)兰德尔E.布莱恩特(Randal E.Bryant)等 机械工业出版社【正版】 全国三仓发货，物流便捷，下单秒杀，欢迎选购！,¥42.00,(美)兰德尔?E.布莱恩特(Randal E.Bryant), 2016-11-01,机械工业出版社
 计算机系统基础第2版【正版书籍 闪电发货】 【满额立减 下单速发 可开发票 正版图书】,¥18.49,袁春风余子濠著, 2018-08-01,机械工业出版社
 【正版特价】硬件创业：从产品创意到成熟企业的成功路线图|230237 ,¥8.90,（美）勒妮·迪雷斯塔（Renee DiResta）, 2016-10-01,机械工业出版社
 autocad从入门到精通 photoshop cc从从入门到精通全套2册电脑机械制图绘图画图室内设计建筑autocad ,¥39.50,许东平 著, 2023-04-01,机械工业出版社
 利用Python进行数据分析（原书第2版） Python数据分析经典畅销书全新升级，第1版中文版累计销售100000册 Python pandas创始人亲自执笔，Python语言的核心开发人员鼎立推荐 针对Python 3.6进行全面修订和更新,¥65.50,[美]韦斯·麦金尼（Wes McKinney）, 2018-07-30,机械工业出版社
 用户体验要素:以用户为中心的产品设计原书第2版【正版保证】 【正版书籍 闪电发货 品质无忧 可开发票】,¥18.12,[美]杰西·詹姆斯·加勒特（JesseJamesGarrett）著, 2019-04-01,机械工业出版社
" 利用Python进行数据分析 (美)韦斯·麦金尼(Wes McKinney) 著,徐敬一 译 机械工业出版社【正版】 全国三仓发货，物流便捷，下单秒杀，欢迎选购！",¥30.00,"(美)韦斯·麦金尼(Wes McKinney) 著,徐敬一", 2018-07-01,机械工业出版社
 电动汽车智能底盘技术路线图 机械工业出版社 新华书店正版，关注店铺成为会员可享店铺专属优惠，团购客户请咨询在线客服！,¥134.50,中国汽车工程学会, 2023-06-01,机械工业出版社
 计算机网络:自顶向下方法 詹姆斯·F.库罗斯 著 机械工业出版社【正版】 全国三仓发货，物流便捷，下单秒杀，欢迎选购！,¥20.00,詹姆斯·F.库罗斯 著, 2018-06-01,机械工业出版社
 深入理解Java虚拟机：JVM高级特性与佳实践 周志明 机械工业出版社【正版】 全国三仓发货，物流便捷，下单秒杀，欢迎选购！,¥24.00,周志明, 2019-12-01,机械工业出版社
 Linux内核设计与实现 拉芙(RobertLove) 机械工业出版社【正版】 全国三仓发货，物流便捷，下单秒杀，欢迎选购！,¥9.00,拉芙(RobertLove), 2011-06-01,机械工业出版社
 Linux内核设计与实现 拉芙(RobertLove) 机械工业出版社【正版】 【店主推荐，正版书放心购买，可开发票】,¥10.97,[美]Robert Love；陈莉君、康, 2011-05-01,机械工业出版社
 DAMA数据管理知识体系指南（原书第2版） 一本关于数据管理知识体系的专业指南和权威读物,¥83.20,DAMA International, 2022-01-04,机械工业出版社
 数据化运营:系统方法与实践案例【正版特惠 售后无忧】 【满额立减 下单速发 可开发票 正版图书】,¥11.06,赵宏田江丽萍李宁, 2018-08-01,机械工业出版社
 【正版特价】MATLAB工程计算（原书第3版）|231934 ,¥8.90,（美）大卫·M.史密斯（David M. Smith）, 2018-09-01,机械工业出版社
 ToB营销增长：B2B和SaaS市场人工作指南 ToB营销增长标准著作，800位专家好评，独创ToB营销增长模型，构建完整ToB知识体系，学习华为等企业经验,¥81.70,邹杨 著, 2023-09-20,机械工业出版社
 Linux 内核完全注释 赵炯 机械工业出版社【正版】 全国三仓发货，物流便捷，下单秒杀，欢迎选购！,¥20.00,赵炯, 2004-09-01,机械工业出版社
 华为数字化转型之道 华为官方出品 华为官方出品！华为轮值董事长郭平、CIO陶景文推荐。首次对外公开华为数字化转型方法论与实践经验。学透华为管理“新方向”，看懂企业数字化转型“新变革”。2022登峰图书奖十大好书。,¥71.00,华为企业架构与变革管理部 著, 2022-04-25,机械工业出版社
" KVM实战：原理、进阶与性能调优 任永杰,程舟 著 机械工业出版社【正版】 全国三仓发货，物流便捷，下单秒杀，欢迎选购！",¥13.00,"任永杰,程舟 著", 2019-03-01,机械工业出版社
 零基础轻松学C++：青少年趣味编程（全彩版） ,¥52.30,快学习教育, 2020-03-27,机械工业出版社
 华为数据之道【正版特惠 售后无忧】 【满额立减 下单速发 可开发票 正版图书】,¥23.83,华为公司数据管理部著, 2020-11-01,机械工业出版社
 系统架构:复杂系统的产品设计与开发 (美)爱德华·克劳利 机械工业出版社【正版】 全国三仓发货，物流便捷，下单秒杀，欢迎选购！,¥47.00,(美)爱德华·克劳利, 2016-12-01,机械工业出版社
 计算机网络与因特网 1碟 （美）科默 革和 林生 等译. Douglas、于芳【正版保证】 【店主推荐，正版书放心购买，可开发票】,¥0.16,Douglas、于芳, 2009-06-01,机械工业出版社
" 数据中台：让数据用起来 付登坡,江敏,任寅姿,孙少忆等 机械工业出版社【正版】 全国三仓发货，物流便捷，下单秒杀，欢迎选购！",¥9.00,"付登坡,江敏,任寅姿,孙少忆等", 2019-12-01,机械工业出版社
 【正版特价】面向机器智能的TensorFlow实践|230304 ,¥8.90,（美）山姆·亚伯拉罕（Sam Abrahams）, 2017-04-01,机械工业出版社
 华为数据之道 华为官方出品 华为公司数据管理部撰写，全面总结华为在数据治理和数字化转型经验，碧桂园、美的、三一重工等百余家企业全面研读。英文版全球发行。,¥49.00,华为公司数据管理部, 2020-10-30,机械工业出版社
 【正版特价】R用户Python学习指南：数据科学方法|231919 ,¥8.90,[印度]A. 奥利（A. Ohri）, 2018-11-06,机械工业出版社
 ChatGPT原理与实战：大型语言模型的算法、技术和私有化 BAT资深大模型专家撰写，深入解析ChatGPT技术、算法、原理和训练方法，教你从0搭建专属大模型，邱锡鹏推荐,¥54.50,刘聪 等, 2023-08-17,机械工业出版社
 【正版特价】暗渡陈仓：用低功耗设备进行破解和渗透测试|230944 ,¥8.90,（美）菲利普·布勒斯特拉（Philip Polstra）, 2016-10-01,机械工业出版社
" TOGAF标准9.1版 The,Open,Group著,张新国等 译 机械工业出版社【正版】 全国三仓发货，物流便捷，下单秒杀，欢迎选购！",¥279.00,"The,Open,Group著,张新国等 译", 2017-01-01,机械工业出版社
 【包邮特价】基于SAS的供应链管理与分析|231652 ,¥8.90,邱若楠、曹新建、夏坤庄, 2018-07-01,机械工业出版社
