网址,书名,价格,信息,日期,作者,出版社
http://product.dangdang.com/29611001.html,,¥66.00,立足NOI大纲知识体系严谨解析相关知识和概念精要述评思想、方法和技巧全面涵盖NOI考查内容,出版时间:2023年08月,作者:信息学奥林匹克辞典——全国青少年信息学奥林匹克系列竞赛大纲详解,机械工业出版社
http://product.dangdang.com/11529603005.html,Linux内核设计与实现拉芙(RobertLove)机械工业出版社【正版】,¥19.69,【店主推荐，正版书放心购买，可开发票】,出版时间:2011年05月,作者:[美]RobertLove；陈莉君、康,机械工业出版社
http://product.dangdang.com/11471312024.html,"从零开始学Arduino电子设计黄焕林,丁昊编著机械工业出版社【正版】",¥26.00,全国三仓发货，物流便捷，下单秒杀，欢迎选购！,出版时间:2018年04月,"作者:黄焕林,丁昊编著",机械工业出版社
http://product.dangdang.com/11223920053.html,"测试之美莱利等编,张奭等译机械工业出版社【正版】",¥28.00,全国三仓发货，物流便捷，下单秒杀，欢迎选购！,出版时间:2010年08月,"作者:莱利等编,张奭等译",机械工业出版社
http://product.dangdang.com/686310297.html,数据结构与算法:Python语言实现【放心购买无忧售后】,¥23.53,【正版书籍闪电发货品质无忧可开发票】,出版时间:2018年09月,作者:Goodrich)著；[美]迈克尔译；T.译；古德里奇(Michael译；T.译,机械工业出版社
http://product.dangdang.com/11226280740.html,数据结构与算法分析C语言描述典藏版冯舜玺译机械工业出版社【正版】,¥23.00,全国三仓发货，物流便捷，下单秒杀，欢迎选购！,出版时间:2019年04月,作者:冯舜玺译,机械工业出版社
http://product.dangdang.com/1729350385.html,【正版特价】Linux创客实战|231865,¥9.90,,出版时间:2018年09月,作者:[美]亚伦·纽科姆（AaronNewcomb）,机械工业出版社
http://product.dangdang.com/11471318394.html,Unity3D网络游戏实战罗培羽机械工业出版社【正版】,¥24.00,全国三仓发货，物流便捷，下单秒杀，欢迎选购！,出版时间:2018年12月,作者:罗培羽,机械工业出版社
http://product.dangdang.com/11234827181.html,Metasploit渗透测试魔鬼训练营诸葛建伟等机械工业出版社【正版】,¥23.00,全国三仓发货，物流便捷，下单秒杀，欢迎选购！,出版时间:2013年09月,作者:诸葛建伟等,机械工业出版社
http://product.dangdang.com/11302749340.html,"SolidWorks2018中文版快速入门实例教程胡仁喜,刘昌丽机械工业出版社【正版】",¥34.00,全国三仓发货，物流便捷，下单秒杀，欢迎选购！,出版时间:2019年10月,"作者:胡仁喜,刘昌丽",机械工业出版社
http://product.dangdang.com/11226258780.html,深入理解计算机系统(美)兰德尔E.布莱恩特(RandalE.Bryant)等机械工业出版社【正版】,¥53.00,全国三仓发货，物流便捷，下单秒杀，欢迎选购！,出版时间:2016年11月,作者:(美)兰德尔?E.布莱恩特(RandalE.Bryant),机械工业出版社
http://product.dangdang.com/11471319094.html,"嵌入式实时操作系统:RT-Thread设计与实现邱祎,熊谱翔,朱天龙机械工业出版社【正版】",¥52.00,全国三仓发货，物流便捷，下单秒杀，欢迎选购！,出版时间:2019年03月,"作者:邱祎,熊谱翔,朱天龙",机械工业出版社
http://product.dangdang.com/11471462404.html,"架构即未来:现代企业可扩展的Web架构、流程和组织[美]马丁L.阿伯特(MartinL.Abbott),迈克尔T.费舍尔机械工业出版社【正版】",¥15.00,全国三仓发货，物流便捷，下单秒杀，欢迎选购！,出版时间:2016年04月,作者:[美]马丁L.阿伯特(MartinL.Abbott),机械工业出版社
http://product.dangdang.com/29417398.html,,¥163.50,本套装含《华为数字化转型之道》和《华为数据之道》各1册。华为官方出品，数据资源化数据治理数据资产化数据开发应用数据流通数据要素市场数据安全,出版时间:2022年06月,作者:华为公司企业架构与变革管理部，华为公司数据管理部著,机械工业出版社
http://product.dangdang.com/662163324.html,Python数据分析与挖掘实战第2版【正版书籍闪电发货】,¥18.79,【满额立减下单速发可开发票正版图书】,出版时间:2019年12月,作者:张良均著；谭立云著；刘名军著；江建明著,机械工业出版社
http://product.dangdang.com/11301947400.html,"数据通信与网络[美]佛罗赞,[美]费根著,吴时霖等译机械工业出版社【正版】",¥37.00,全国三仓发货，物流便捷，下单秒杀，欢迎选购！,出版时间:2007年07月,"作者:[美]佛罗赞,[美]费根著,吴时霖等译",机械工业出版社
http://product.dangdang.com/11533357353.html,新机器的灵魂TracyKidder　【正版书】,¥32.50,全国三仓发货，物流便捷，下单秒杀，欢迎选购！,出版时间:2011年01月,作者:[美]基德尔（TracyKidder）,机械工业出版社
http://product.dangdang.com/640489549.html,"R语言编程艺术,一点彩划【正版保证】",¥10.67,【满额立减下单速发可开发票正版图书】,出版时间:2013年05月,作者:[美]NormanMatloff著；陈堰平译；邱怡轩译；潘岚锋译,机械工业出版社
http://product.dangdang.com/11458184334.html,"Intel微处理器[美]布雷,金惠华等机械工业出版社【正版】",¥102.00,全国三仓发货，物流便捷，下单秒杀，欢迎选购！,出版时间:2010年06月,"作者:[美]布雷,金惠华等",机械工业出版社
http://product.dangdang.com/662154174.html,计算机网络:自顶向下方法原书第7版【正版书籍闪电发货】,¥21.54,【满额立减下单速发可开发票正版图书】,出版时间:2018年06月,作者:詹姆斯·F.库罗斯著,机械工业出版社
http://product.dangdang.com/28538371.html,,¥96.90,豆瓣评分9.5!复旦大学邱锡鹏教授力作，周志华、李航联袂推荐！深受好评的深度学习讲义蒲公英书正式版！系统整理深度学习的知识体系，由浅入深地阐述深度学习的原理、模型以及方法。更适合中文读者的深度学习图书,出版时间:2020年04月,作者:邱锡鹏著,机械工业出版社
http://product.dangdang.com/27849226.html,,¥54.60,全面、系统地讲述了C语言的各个特性及程序设计的基本方法。,出版时间:2022年05月,作者:布莱恩,机械工业出版社
http://product.dangdang.com/11476810406.html,深入理解计算机系统(美)兰德尔E.布莱恩特(RandalE.Bryant)等【正版保证】,¥43.18,全国多仓就近发货，现货正版，领劵下单，欢迎选购！,出版时间:2016年11月,作者:(美)兰德尔?E.布莱恩特(RandalE.Bryant),机械工业出版社
http://product.dangdang.com/1724593885.html,【正版特价】实用机器学习|231456,¥9.90,,出版时间:2018年06月,作者:（印）苏尼拉·格拉普蒂（SunilaGollapudi）,机械工业出版社
http://product.dangdang.com/11471452044.html,设计模式之禅秦小波著机械工业出版社【正版】,¥20.00,全国三仓发货，物流便捷，下单秒杀，欢迎选购！,出版时间:2014年03月,作者:秦小波著,机械工业出版社
http://product.dangdang.com/11234836241.html,Redis设计与实现黄健宏机械工业出版社【正版】,¥25.00,全国三仓发货，物流便捷，下单秒杀，欢迎选购！,出版时间:2014年06月,作者:黄健宏,机械工业出版社
http://product.dangdang.com/11471317384.html,操作系统概念[美]亚伯拉罕·西尔伯沙茨（AbrahamSilberschatz）机械工业出版社【正版】,¥38.00,全国三仓发货，物流便捷，下单秒杀，欢迎选购！,出版时间:2018年07月,作者:[美]亚伯拉罕·西尔伯沙茨（AbrahamSilbersch,机械工业出版社
http://product.dangdang.com/29474621.html,,¥96.70,经典教材全新升级，被国内外数百所高校选用，被译为14种语言畅销全球,出版时间:2022年10月,作者:[美]詹姆斯·F.库罗斯(JamesF.Kurose)[美]基思·W.罗斯(KeithW.Ross),机械工业出版社
http://product.dangdang.com/1734398815.html,【包邮特价】基于SAS的供应链管理与分析|231652,¥9.90,,出版时间:2018年07月,作者:邱若楠、曹新建、夏坤庄,机械工业出版社
