title,bvid,link,up,play,bulletchat,reply,like,coin,favorite,share,labels
这场【全球审美大降级】属实给我整混乱了……,BV1fc41167r3,https://b23.tv/BV1fc41167r3,塑料叉FOKU,5497493,11292,5922,296642,50746,80026,13939,"['时尚', '仿妆cos', '美妆', '复古', '颜值', '时尚', '吐槽', '塑料叉', '审美', '分享', '影视', '变美']"
朋友你们帮我看看问题到底出现在哪里？,BV1ju4y1j7jk,https://b23.tv/BV1ju4y1j7jk,口技小青年,5481127,10840,7635,383898,88927,79907,94973,"['给小动物注入灵魂', '动物圈', '汪星人', '汪星人', '动物观察局24.0 小动物变装派对！']"
【硬件科普】从零开始认识主板,BV1xQ4y1b7JS,https://b23.tv/BV1xQ4y1b7JS,硬件茶谈,2058253,2937,2462,191262,126704,150589,10732,"['B站装机助手', '科技', '数码', '显卡', '电脑', 'DIY', '科普', '科技', '主板', '硬件', '电脑装机', '微星']"
满足了甲方奇怪的癖好,BV1BC4y1j7dr,https://b23.tv/BV1BC4y1j7dr,逗比的雀巢,6892866,3461,3318,483317,70662,47308,11777,"['外星降临活着就行', '影视', '小剧场', '职场', '搞笑', '搞笑视频', '科技', '高能', '生活', '娱乐', '星球重启', '甲方', '“外星降临活着就行”星球重启创作激励计划']"
从「孤苦少年」到「一代天子」！他凭什么？《史记》原文全解读【故事】03,BV12H4y1q7bx,https://b23.tv/BV12H4y1q7bx,木鱼水心,1624040,6862,2221,186425,139308,57927,3672,"['知识', '人文历史', '历史', '影视杂谈', '木鱼水心', '学习', '故事HISTORY', '司马迁', '史记', '舜', '禅让', '二十四史']"
章~鱼~哥~来~咯~,BV1Hw411K7Fx,https://b23.tv/BV1Hw411K7Fx,老番茄,3306879,11209,3387,267235,121695,76833,10268,"['整点电子榨菜', '游戏', '单机游戏', '章鱼哥', '派大星', '搞笑', '某行', '海绵宝宝', '花少北', '老番茄', '沙雕', '中国boy', '整点电子榨菜第七期']"
当北方人第一次在南方过冬,BV1Gj411J76q,https://b23.tv/BV1Gj411J76q,粤知一二,5004605,7633,5177,363950,6935,25482,5076,"['搞笑新星训练营', '生活', '搞笑', '脱口秀', '搞笑', '广东', '栋笃笑', '郭嘉峰', '段子', '粤知一二', '搞笑研究所2023 7.0 万圣节来搞怪']"
《绝区零》比利角色展示 | 骑士登场！,BV1tN4y1m7d5,https://b23.tv/BV1tN4y1m7d5,绝区零,2649447,5776,8454,293982,62541,48692,34774,"['游戏', '手机游戏', '手机游戏', '比利', '新游', 'PC', '游戏', '动作游戏', '米哈游', '降噪测试', '绝区零', '绝区零比利']"
《原神》过场动画-「罪人的终幕」,BV1vu4y1b7Y9,https://b23.tv/BV1vu4y1b7Y9,原神,2471285,11088,10573,259118,173499,95048,23248,"['游戏', '手机游戏', '原神', '原神枫丹', '芙宁娜', '米哈游', 'miHoYo']"
探秘中国国宴！开国第一宴！10道国宴菜！都吃什么？,BV1Dz4y1N7XT,https://b23.tv/BV1Dz4y1N7XT,HOLA小测佬,4544769,11016,3221,350749,75088,43570,9619,"['初冬时节·美食治愈季', '美食', '美食侦探', '试吃', '4K', '探店', '吃货', '开箱', '美食', '北京', '测评', '国宴']"
第一次去拍网红写真 没想到要穿露背装 当场崩溃,BV1Rj411j7Fq,https://b23.tv/BV1Rj411j7Fq,假美食po主,2362968,9627,2892,110411,40693,13487,4735,"['今天也在好好生活', '生活', '日常', '上海', '穿搭', '摄影', '搞笑', '生活记录', '写真', '拍照', '记录', 'Vlog', '生活万花筒8.0 看见生活B面']"
这十六分钟真的能讲完你那波澜壮阔的十年吗,BV12a4y1S7GR,https://b23.tv/BV12a4y1S7GR,一张照片LOL,3330965,9196,12203,223867,213963,98897,51914,"['やわらかな光 (YAWARAKANA HIKARI)', '英雄联盟S13', '游戏', '电子竞技', '英雄联盟', '电子竞技', 'Faker']"
"""Cheems，你枪里装的是珍珠软糖吗？""",BV1dw411N7VG,https://b23.tv/BV1dw411N7VG,一大筐会飞的草莓,1968126,1351,1105,182962,30884,39915,7434,"['August', '一起来捣蛋噢', '鬼畜', '鬼畜剧场', '鬼畜剧场', '鬼畜', '搞笑', 'Cheems', '把益禾堂整疯', '郝哥']"
3兄弟体验上海东北饺子馆菜量，被coco笑话冻死…,BV1CH4y127gA,https://b23.tv/BV1CH4y127gA,盗月社食遇记,2155457,6321,3617,130927,77361,16772,5942,"['初冬时节·美食治愈季', '美食', '美食侦探', '饺子', '火锅', '东北', '生活记录', '兄弟', '东北饺子', '东北酸菜']"
红魔9Pro上手体验：教科书级游戏性能,BV14M411f7R7,https://b23.tv/BV14M411f7R7,极客湾Geekerwan,1655574,8790,7572,86937,13211,7821,12941,"['Uptown Getdown', '科技', '数码', '游戏手机', '红魔', '红魔9pro']"
小伙用高智能AI生成的魔仙李云龙,BV11Q4y1t7mG,https://b23.tv/BV11Q4y1t7mG,主观哥哥,1146430,932,697,81197,6232,16161,9030,"['一起来捣蛋噢', '鬼畜', '鬼畜剧场', '巴啦啦小魔仙', '蔡徐坤', '社会摇', '游乐王子', '完颜慧德', '把益禾堂整疯', '三年动画', '玲珑', '华强买瓜']"
《无期迷途》全新主线章节——「弱者」,BV1Wg4y1X7oi,https://b23.tv/BV1Wg4y1X7oi,无期迷途,1635881,1481,4041,50550,26130,10795,10566,"['游戏', '手机游戏', '主线', '无期迷途', '禁闭者', 'MBCC', '弱者']"
