书名,价格,信息,日期,出版社
 信息学奥林匹克辞典 全国青少年信息学奥林匹克系列竞赛大纲详解 立足NOI大纲知识体系 严谨解析相关知识和概念 精要述评思想、方法和技巧 全面涵盖NOI考查内容,¥66.00,信息学奥林匹克辞典——全国青少年信息学奥林匹克系列竞赛大纲详解, 2023-08-07,机械工业出版社
 深入理解计算机系统（原书第3版） IT图书领域的传奇图书，畅销全球的ICS核心教材，能让程序员脱胎换骨的书,¥90.40,兰德尔, 2022-04-18,机械工业出版社
 利用Python进行数据分析（原书第2版） Python数据分析经典畅销书全新升级，第1版中文版累计销售100000册 Python pandas创始人亲自执笔，Python语言的核心开发人员鼎立推荐 针对Python 3.6进行全面修订和更新,¥77.40,[美]韦斯·麦金尼（Wes McKinney）, 2018-07-30,机械工业出版社
 DAMA数据管理知识体系指南（原书第2版） 一本关于数据管理知识体系的专业指南和权威读物,¥83.20,DAMA International, 2022-01-04,机械工业出版社
 华为数字化转型之道 华为官方出品 华为官方出品！华为轮值董事长郭平、CIO陶景文推荐。首次对外公开华为数字化转型方法论与实践经验。学透华为管理“新方向”，看懂企业数字化转型“新变革”。2022登峰图书奖十大好书。,¥119.80,华为企业架构与变革管理部 著, 2022-04-25,机械工业出版社
 计算机网络：自顶向下方法（原书第8版） 经典教材全新升级，被国内外数百所高校选用，被译为14种语言畅销全球,¥96.70,[美]詹姆斯·F. 库罗斯(James F. Kurose) [美]基思·W. 罗斯(Keith W. Ross), 2022-10-18,机械工业出版社
 华为数字化转型与数据治理套装（共2册） 本套装含《华为数字化转型之道》和《华为数据之道》各1册。华为官方出品，数据资源化 数据治理 数据资产化 数据开发应用 数据流通 数据要素市场 数据安全,¥163.50,华为公司企业架构与变革管理部，华为公司数据管理部 著, 2022-06-01,机械工业出版社
 零基础轻松学C++：青少年趣味编程（全彩版） ,¥52.30,快学习教育, 2020-03-27,机械工业出版社
 C程序设计语言（原书第2版·新版）典藏版 全面、系统地讲述了C语言的各个特性及程序设计的基本方法。,¥54.60,布莱恩, 2022-05-05,机械工业出版社
 华为数据之道 华为官方出品 华为公司数据管理部撰写，全面总结华为在数据治理和数字化转型经验，碧桂园、美的、三一重工等百余家企业全面研读。英文版全球发行。,¥57.90,华为公司数据管理部, 2020-10-30,机械工业出版社
 ChatGPT原理与实战：大型语言模型的算法、技术和私有化 BAT资深大模型专家撰写，深入解析ChatGPT技术、算法、原理和训练方法，教你从0搭建专属大模型，邱锡鹏推荐,¥74.20,刘聪 等, 2023-08-17,机械工业出版社
 神经网络与深度学习 豆瓣评分9.5!复旦大学邱锡鹏教授力作，周志华、李航联袂推荐！深受好评的深度学习讲义蒲公英书正式版！系统整理深度学习的知识体系，由浅入深地阐述深度学习的原理、模型以及方法。更适合中文读者的深度学习图书,¥96.90,邱锡鹏 著, 2020-04-17,机械工业出版社
 数据结构与算法分析 C语言描述（原书第2版）典藏版 书中详细介绍了当前流行的论题和新的变化，讨论了算法设计技巧，并在研究算法的性能、效率。,¥62.50,马克, 2022-06-14,机械工业出版社
 数据分析从入门到进阶 透彻讲解Excel、SQL、Tableau、Python四项数据分析必会工具，免费提供1GB数据集、源代码。,¥59.90,陈红波 刘顺祥 等, 2019-07-15,机械工业出版社
 奇点临近 畅销书《The Age of Spiritual Machines》作者又一力作 比尔?盖茨鼎力推荐,¥74.20,雷·库兹韦尔, 2022-11-01,机械工业出版社
 编译原理（第2版）[龙书] 2020年图灵奖得主作品 ,¥70.40,Alfred, 2022-04-12,机械工业出版社
 华为数字化转型之道 华为企业架构与变革管理部官方出品 数字化转型方法和实践 华为数据之道姐妹篇 机械工业出版社 正版书籍 新华书店正版，关注店铺成为会员可享店铺专属优惠，团购客户请咨询在线客服！,¥64.50,华为企业架构与变革管理部, 2022-05-01,机械工业出版社
 有效竞品分析：好产品的竞品分析方法论 近20年经验总结，中国平安、华为、OPPO、三星、苏泊尔、美的等100余家中外企业都在用的竞品分析方法论,¥59.20,张在旺, 2022-06-28,机械工业出版社
 深入浅出SSD：固态存储核心技术、原理与实战 第2版 经典畅销书升级，内容更新超60%，更新、更全、更有深度，10余位产业界领导或领域专家推荐,¥96.70,SSDFans 胡波 石亮 岑彪, 2023-08-09,机械工业出版社
 用户体验要素：以用户为中心的产品设计（原书第2版） 本书是AJAX之父的经典之作。,¥62.50,杰西, 2022-04-28,机械工业出版社
 Effective Java中文版（原书第3版） Jolt大奖获奖作品 Java之父James Gosling需要的一本书,¥94.10,约书亚, 2022-01-04,机械工业出版社
 一本书讲透数据治理：战略 方法 工具与实践 用友官方出品，用友集团董事长、DAMA中国区主席推荐，详述数据治理3个机制、8项举措、7种能力、7把利剑,¥96.70,用友平台与数据智能团队, 2022-02-28,机械工业出版社
 线性代数（原书第10版） Leon的线性代数入门经典教材，自1980年初版以来，畅销40多年，已经更新到第10版，中文版累计销售十几万册，配习题+答案。,¥74.20,（美）史蒂文·J.利昂（Steven J. Leon），, 2022-02-19,机械工业出版社
 CTF那些事儿 北航Lancet战队成员倾力打造，推出CTF实战技能全新学习框架,¥149.20,李舟军 主编, 2023-09-04,机械工业出版社
 Kali Linux高级渗透测试（原书第4版） Kali Linux渗透测试经典之作全新升级，关注远程办公场景及云环境渗透测试，包含大量实例并提供源码。,¥81.70,维杰·库马尔·维卢 著, 2023-08-17,机械工业出版社
 黑客攻防从入门到精通 实战篇 第2版 简单易学：从易到难、循序渐进、图文并茂、通俗易懂,¥49.80,王叶, 2022-08-06,机械工业出版社
